topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Mechanics,Momentum and Impulse,momentum;definition;mv,Eduqas;AQA;OCR;Edexcel,What is the equation for linear momentum?,F = ma,p = mv,p = F × t,v = u + at,B,Momentum (p) is defined as the product of mass (m) and velocity (v).,easy
Mechanics,Momentum and Impulse,momentum;moving objects;physics,Eduqas;AQA;OCR;Edexcel,Which of the following has momentum?,A moving car,A stationary ball,A rock on the ground,A parked bicycle,A,Only moving objects with mass have momentum.,easy
Mechanics,Momentum and Impulse,momentum;proportional;velocity,Eduqas;AQA;OCR;Edexcel,"If mass is constant, what happens to momentum when velocity doubles?",Halves,Remains the same,Doubles,Quadruples,C,"Momentum is directly proportional to velocity, so it doubles.",medium
Mechanics,Momentum and Impulse,momentum;calculation;mv,Eduqas;AQA;OCR;Edexcel,A 2 kg object moves at 3 m/s. What is its momentum?,5 kg·m/s,6 kg·m/s,1.5 kg·m/s,9 kg·m/s,B,p = mv = 2 × 3 = 6 kg·m/s.,easy
Mechanics,Momentum and Impulse,impulse;momentum;change,Eduqas;AQA;OCR;Edexcel,Impulse is equal to:,Force divided by time,Change in momentum,Mass times velocity,Acceleration times time,B,Impulse = change in momentum (Δp).,medium
Mechanics,Momentum and Impulse,impulse;units;N·s,Eduqas;AQA;OCR;Edexcel,What is the unit of impulse?,kg·m²,N·m,kg·m/s,N·s,D,"Impulse = force × time, so its unit is newton-second (N·s).",medium
Mechanics,Momentum and Impulse,impulse;calculation;force×time,Eduqas;AQA;OCR;Edexcel,A force of 10 N acts for 4 seconds. What is the impulse delivered?,40 N·s,14 N·s,6 N·s,10 N·s,A,Impulse = F × t = 10 × 4 = 40 N·s.,easy
Mechanics,Momentum and Impulse,impulse;stopping;change in momentum,Eduqas;AQA;OCR;Edexcel,What is the impulse required to stop a 4 kg object moving at 5 m/s?,10 N·s,20 N·s,15 N·s,25 N·s,B,Impulse = Δp = 4 × 5 = 20 N·s.,medium
Mechanics,Momentum and Impulse,momentum;conservation;collisions,Eduqas;AQA;OCR;Edexcel,"In a collision between two objects, momentum is conserved if:",Kinetic energy is conserved,No net external force acts on the system,The masses are equal,The objects are moving in the same direction,B,Momentum conservation requires no net external force on the system.,hard
Mechanics,Momentum and Impulse,momentum;rebound;change,Eduqas;AQA;OCR;Edexcel,A 0.2 kg ball hits a wall at 10 m/s and rebounds at 8 m/s. What is the change in momentum?,-3.6 kg·m/s,1.2 kg·m/s,0.4 kg·m/s,-0.4 kg·m/s,A,Δp = m(v - u) = 0.2 × (-8 - 10) = -3.6 kg·m/s.,hardcore
